Audio,Audio_Haptic,Haptic,Visual_DVE,Visual_SVE,Visual_Audio_DVE,Visual_Audio_SVE,Visual_Audio_Haptic_DVE,Visual_Audio_Haptic_SVE,Visual_Haptic_SVE,Visual_Haptic_DVE,Subject,Trial
52.05799,55.20747,50.30828,70.73821,67.28879,61.0065,77.60373,57.07382,86.31895,71.4381,74.23763,Subject_1,1
57.30711,60.83986,44.07599,51.30812,75.07082,58.35694,74.021,67.0055,81.15314,65.78903,66.78887,Subject_1,2
52.54124,67.22213,53.34111,60.88985,62.88952,63.25612,64.08932,65.45576,78.53691,73.68772,67.17213,Subject_1,3
59.69005,61.58974,57.04049,71.0215,77.40376,63.80603,77.53708,67.58874,81.18647,69.97167,64.3726,Subject_1,4
56.94051,68.62189,44.2093,63.10615,75.48742,62.70621,75.50408,66.00567,77.63706,72.85452,61.23979,Subject_1,5
65.42243,65.52242,55.4241,83.33611,80.95317,77.40376,88.55191,81.06982,68.03866,80.85319,81.01983,Subject_2,1
63.27279,57.37377,51.10815,76.72054,87.98534,81.11981,92.91785,85.03583,80.03666,86.25229,81.75304,Subject_2,2
58.22363,61.88969,57.34044,78.32028,86.55224,81.20313,87.18547,83.31945,79.50342,85.61906,83.26945,Subject_2,3
62.9895,65.37244,55.25746,82.01966,87.95201,81.18647,93.4011,83.33611,80.96984,85.26912,84.7692,Subject_2,4
64.7892,56.92385,61.62306,78.92018,84.28595,78.75354,87.26879,77.05383,81.83636,80.55324,82.38627,Subject_2,5
37.56041,56.37394,68.37194,77.85369,76.47059,84.46925,66.57224,74.50425,89.36844,91.31812,81.00317,Subject_3,1
64.40593,64.006,62.45626,85.0025,79.80337,75.30412,67.88869,70.05499,90.10165,94.43426,73.7877,Subject_3,2
69.08849,66.32228,69.92168,78.32028,77.35378,72.10465,69.22179,72.52125,86.05232,88.58524,79.6034,Subject_3,3
64.48925,75.10415,55.55741,73.20447,76.27062,81.53641,74.45425,85.83569,87.03549,89.76837,81.75304,Subject_3,4
58.57357,70.2383,66.02233,77.27045,69.78837,78.53691,78.15364,82.45293,84.96917,88.01866,79.0035,Subject_3,5
52.80787,78.38693,57.69038,78.32028,95.46742,82.76954,78.47025,74.28762,93.23446,86.91885,90.08498,Subject_4,1
60.10665,74.73754,66.90552,83.21947,94.75088,84.98583,81.28645,73.63773,87.78537,95.46742,80.63656,Subject_4,2
66.25562,80.45325,62.2063,75.23746,88.96851,77.6204,86.019,79.40343,83.85269,88.73521,88.1853,Subject_4,3
70.57157,75.73737,54.45759,79.03683,88.28529,83.18613,83.11948,82.28629,90.20163,86.58557,85.90235,Subject_4,4
64.17264,76.20396,67.53874,81.00317,91.50142,84.11932,87.13548,83.45276,89.23513,88.25196,85.06915,Subject_4,5
34.91085,46.20897,32.51125,60.03999,42.35961,50.75821,50.82486,59.24013,72.47125,56.19064,34.36094,Subject_5,1
37.92701,51.4081,37.77704,55.49075,45.4091,43.45942,45.07582,56.52391,64.1893,56.89052,43.95934,Subject_5,2
38.44359,46.69222,27.06216,57.37377,46.65889,40.45992,53.77437,56.57391,69.12181,53.44109,47.12548,Subject_5,3
36.56057,46.6089,27.84536,60.4066,51.54141,53.87436,56.54058,56.9905,66.87218,53.8077,47.60873,Subject_5,4
30.5949,59.42343,20.76321,60.95651,56.47392,54.70755,51.07482,62.12298,68.48859,57.07382,39.46009,Subject_5,5
49.49175,58.29028,57.85703,76.65389,72.08798,75.80403,82.03632,75.42076,86.03566,85.33578,85.6024,Subject_6,1
55.3741,53.35777,44.85919,79.15347,72.78787,71.82137,81.76971,81.06982,86.48559,80.9865,81.38644,Subject_6,2
48.80853,53.19114,43.97601,78.65356,76.65389,78.33694,86.83553,72.47125,82.56957,87.25212,72.80453,Subject_6,3
46.14231,48.99184,49.89169,78.33694,81.16981,78.15364,87.08549,79.05349,82.88618,84.28595,82.2363,Subject_6,4
48.75854,50.55824,40.39327,76.87052,77.97034,82.35294,86.83553,80.96984,83.01949,75.90401,74.40427,Subject_6,5
33.62773,24.64589,16.84719,47.32545,65.07249,61.75637,66.63889,66.1723,62.77287,61.95634,62.82286,Subject_7,1
34.94418,20.22996,14.38094,46.09232,60.45659,72.72121,70.63823,47.04216,61.77304,59.55674,54.14098,Subject_7,2
41.32645,18.09698,13.09782,58.35694,63.45609,61.52308,73.68772,67.27212,56.12398,59.60673,52.42459,Subject_7,3
29.24513,24.84586,13.53108,57.39043,60.67322,56.09065,68.30528,66.42226,43.74271,57.7737,56.92385,Subject_7,4
35.49408,28.57857,15.7807,63.50608,66.73888,54.12431,55.6074,68.90518,64.10598,49.02516,57.52375,Subject_7,5
67.38877,71.75471,47.6254,78.35361,79.40343,72.47125,92.50125,79.82003,87.4021,80.83652,71.97134,Subject_8,1
62.5729,78.93684,55.24079,77.6204,80.9865,69.82169,88.36861,78.53691,87.65206,87.65206,69.6384,Subject_8,2
57.00716,81.05316,64.77254,84.15264,86.16897,73.57107,88.16864,76.93718,92.43459,91.23479,78.85352,Subject_8,3
62.33961,79.52008,59.94001,83.65273,87.68539,68.90518,88.45193,81.18647,90.56824,90.75154,82.10298,Subject_8,4
70.75488,80.28662,67.45542,80.02,91.45142,77.47042,87.55208,80.43659,91.75137,94.98417,81.95301,Subject_8,5
47.10881,55.32411,39.5934,62.90618,67.02216,61.50642,67.1888,71.85469,58.30695,57.95701,52.25796,Subject_9,1
30.26162,50.79153,21.26312,60.48992,62.65622,58.7902,70.07166,60.05666,61.47309,54.02433,51.89135,Subject_9,2
40.89318,46.7922,37.74371,55.29079,64.38927,50.40826,57.89035,53.17447,54.09098,60.85653,56.77387,Subject_9,3
44.2093,43.29279,40.90985,52.008,70.85486,60.47326,68.05532,61.08982,59.35677,62.67289,63.73938,Subject_9,4
45.87569,49.22513,24.81253,54.35761,70.63823,65.12248,58.3736,61.58974,57.8237,65.989,55.95734,Subject_9,5
58.44026,59.79004,57.84036,83.25279,81.73637,56.09065,72.67122,84.08598,86.16897,81.45309,71.30478,Subject_10,1
59.97334,58.47359,43.82603,74.53757,85.70238,69.28845,81.45309,75.57074,82.03632,70.38827,62.75621,Subject_10,2
57.62373,55.82403,27.64539,81.31978,90.26829,68.27196,74.68755,77.6204,82.33628,61.50642,64.3726,Subject_10,3
58.45692,48.50858,31.49475,76.77054,88.28529,71.52142,79.38677,75.52074,84.46925,81.63639,69.83836,Subject_10,4
47.19213,59.42343,34.96084,79.22013,88.48525,76.55391,75.27079,73.90435,85.76904,81.85303,71.40476,Subject_10,5
46.47559,58.09032,57.45709,63.08949,78.70355,73.35444,68.60523,64.90585,68.57191,85.78571,78.05366,Subject_11,1
44.55924,61.08982,53.49109,68.90518,82.48625,74.37094,72.43793,66.18896,76.28728,83.71938,79.38677,Subject_11,2
37.71038,52.14131,57.47375,73.70438,83.91935,73.30445,73.7877,71.08815,72.67122,83.05283,79.65339,Subject_11,3
41.67639,52.32461,58.29028,67.03883,81.98634,74.2043,68.93851,69.02183,81.15314,84.68588,80.91985,Subject_11,4
44.05932,54.00766,64.28928,56.84053,86.13564,76.92052,75.90401,76.27062,80.21996,86.43559,75.82069,Subject_11,5
40.75987,58.47359,54.20763,60.97317,67.52208,69.33844,56.19064,74.78754,80.10332,67.08882,71.17147,Subject_12,1
36.27729,63.93934,63.72271,59.89002,66.52225,67.15547,57.97367,72.35461,74.50425,65.52242,66.87218,Subject_12,2
37.54374,62.67289,57.29045,60.4066,61.12315,68.87186,52.70788,70.12164,74.40427,70.67155,69.57174,Subject_12,3
47.75871,68.43859,62.58957,64.63923,73.92101,63.00616,50.50825,78.1703,71.10481,79.25346,72.07132,Subject_12,4
44.55924,60.37327,56.17397,62.47292,66.53891,68.60523,62.12298,74.43759,80.93651,80.31995,67.87202,Subject_12,5
65.33911,61.15648,21.06316,73.52108,73.50442,66.43893,72.57124,75.90401,87.88535,59.94001,72.95451,Subject_13,1
58.39027,68.03866,24.97917,68.85519,78.23696,65.87235,76.87052,73.33778,87.2188,71.40476,68.1553,Subject_13,2
55.34078,70.8382,29.46176,73.68772,81.86969,70.1883,70.12164,73.45442,82.88618,73.20447,77.48708,Subject_13,3
59.97334,61.72305,36.26062,69.32178,71.42143,65.07249,82.73621,75.25413,81.70305,70.88818,66.33894,Subject_13,4
65.32245,71.4381,44.95918,74.37094,77.45376,67.1888,81.63639,76.82053,80.41993,75.45409,68.37194,Subject_13,5
62.83953,66.23896,64.65589,68.97184,74.48759,71.85469,76.9705,70.10498,66.25562,64.68922,73.38777,Subject_14,1
63.48942,69.25513,57.99033,68.3886,79.05349,66.70555,79.15347,64.77254,75.35411,71.48808,70.57157,Subject_14,2
61.20647,69.00517,49.49175,69.98833,71.2048,66.00567,72.53791,69.68839,64.6059,66.33894,71.53808,Subject_14,3
59.84003,69.72171,67.22213,66.47225,74.97084,70.70488,71.73804,68.42193,76.75388,67.6054,71.87135,Subject_14,4
58.04033,71.87135,55.6074,66.58891,71.2048,72.5879,79.73671,71.45476,73.45442,65.33911,69.03849,Subject_14,5
57.64039,58.74021,49.75837,65.17247,77.47042,58.29028,72.55457,77.52042,85.08582,80.85319,75.48742,Subject_15,1
56.44059,62.67289,52.14131,64.70588,73.67105,54.70755,70.55491,73.73771,78.88685,82.80286,74.30428,Subject_15,2
58.35694,63.05616,46.14231,62.97284,69.95501,52.02466,72.48792,76.37061,84.95251,86.25229,75.72071,Subject_15,3
67.87202,64.40593,27.64539,68.42193,77.28712,66.73888,75.18747,76.47059,84.1693,76.05399,73.67105,Subject_15,4
61.45642,61.6064,53.65772,73.95434,75.68739,73.83769,77.92035,78.95351,88.35194,85.13581,74.87086,Subject_15,5
